iter	RMSE
0	1666.393945
1	1616.858494
2	1572.2976
3	1530.011748
4	1491.893862
5	1456.616527
6	1422.968525
7	1393.501155
8	1369.373818
9	1343.789395
10	1320.415549
11	1300.155072
12	1279.65547
13	1261.452439
14	1245.825918
15	1231.327158
16	1217.728697
17	1205.848021
18	1194.653908
19	1184.431244
20	1175.257964
21	1167.089749
22	1159.62248
23	1152.464687
24	1146.548496
25	1140.909041
26	1135.700529
27	1130.712474
28	1126.522023
29	1122.560119
30	1118.974455
31	1115.581454
32	1112.643586
33	1110.137478
34	1107.56943
35	1105.500261
36	1103.141758
37	1101.071211
38	1099.833036
39	1098.424778
40	1096.805663
41	1095.441518
42	1094.25712
43	1093.298685
44	1092.283627
45	1091.368543
46	1090.466746
47	1089.651763
48	1088.936562
49	1088.074669
50	1087.258793
51	1086.433149
52	1085.543467
53	1084.83587
54	1084.28152
55	1083.579639
56	1082.780415
57	1082.176567
58	1081.595855
59	1081.330622
60	1080.832808
61	1080.253869
62	1079.63251
63	1078.951089
64	1078.563807
65	1077.957376
66	1077.435085
67	1077.164297
68	1076.501231
69	1076.081711
70	1075.687698
71	1075.536788
72	1075.263529
73	1074.753382
74	1074.431558
75	1074.059895
76	1073.731568
77	1073.393701
78	1072.991091
79	1072.72254
80	1072.433826
81	1072.086414
82	1071.647673
83	1071.13372
84	1070.658649
85	1070.278276
86	1069.94
87	1069.767825
88	1069.206889
89	1068.938549
90	1068.734314
91	1068.513137
92	1068.199357
93	1067.792911
94	1067.380776
95	1067.009435
96	1066.475194
97	1066.240506
98	1065.735233
99	1065.672891
100	1065.317037
101	1065.298005
102	1065.09615
103	1064.841559
104	1064.423632
105	1063.989142
106	1063.758955
107	1063.519891
108	1063.270477
109	1062.897485
110	1062.158716
111	1061.568703
112	1061.380451
113	1061.176689
114	1060.465953
115	1060.062498
116	1059.456394
117	1059.220221
118	1059.023661
119	1058.690177
120	1058.299405
121	1057.960043
122	1057.354246
123	1056.730417
124	1056.418904
125	1056.236108
126	1055.998667
127	1055.832711
128	1055.638823
129	1055.343595
130	1054.980882
131	1054.352309
132	1054.087649
133	1053.767465
134	1053.224359
135	1053.128694
136	1052.891567
137	1052.515955
138	1052.284723
139	1051.892377
140	1051.508733
141	1051.115341
142	1050.780728
143	1050.255141
144	1049.79648
145	1049.414324
146	1049.045135
147	1048.837367
148	1048.353209
149	1048.064333
150	1047.568215
151	1047.171381
152	1046.91267
153	1046.695306
154	1046.123869
155	1045.892117
156	1045.720659
157	1045.266294
158	1044.865342
159	1044.339455
160	1043.991007
161	1043.537613
162	1043.3389
163	1043.117566
164	1042.930572
165	1042.66208
166	1042.430791
167	1041.943471
168	1041.500904
169	1040.916008
170	1040.467283
171	1040.243901
172	1039.961551
173	1039.814525
174	1039.416975
175	1038.967361
176	1038.78706
177	1038.330172
178	1037.903309
179	1037.61218
180	1037.241799
181	1036.880489
182	1036.658482
183	1036.31305
184	1035.916569
185	1035.769494
186	1035.313297
187	1035.093838
188	1034.758468
189	1034.42368
190	1034.026638
191	1033.64906
192	1033.263555
193	1032.967824
194	1032.630382
195	1032.327901
196	1031.99121
197	1031.601384
198	1031.26403
199	1030.81984
200	1030.4742
201	1030.086036
202	1029.687362
203	1029.346511
204	1029.040289
205	1028.768967
206	1028.458464
207	1028.183468
208	1027.667795
209	1027.421608
210	1027.168312
211	1026.849568
212	1026.480401
213	1026.17165
214	1025.96259
215	1025.617738
216	1025.213149
217	1024.724646
218	1024.479858
219	1024.297163
220	1023.9886
221	1023.798026
222	1023.488751
223	1023.26369
224	1023.014088
225	1022.661792
226	1022.263432
227	1021.843657
228	1021.566448
229	1021.306018
230	1021.02124
231	1020.639472
232	1020.281324
233	1019.957327
234	1019.586834
235	1019.417345
236	1018.963371
237	1018.588359
238	1018.219974
239	1018.021171
240	1017.667715
241	1017.421637
242	1017.11899
243	1016.905571
244	1016.569518
245	1016.216453
246	1015.926658
247	1015.495462
248	1015.229422
249	1014.94381
250	1014.459486
251	1014.006569
252	1013.364183
253	1012.933505
254	1012.713362
255	1012.552632
256	1012.078957
257	1011.868998
258	1011.532732
259	1011.184675
260	1010.92697
261	1010.631611
262	1010.294526
263	1010.04137
264	1009.661092
265	1009.450655
266	1008.969476
267	1008.606289
268	1008.03002
269	1007.788589
270	1007.510754
271	1007.331506
272	1007.005153
273	1006.649847
274	1006.32042
275	1006.04545
276	1005.758729
277	1005.396893
278	1005.178095
279	1004.88462
280	1004.62524
281	1004.227737
282	1003.986528
283	1003.798746
284	1003.538752
285	1003.3399
286	1002.9728
287	1002.613977
288	1002.416171
289	1001.890049
290	1001.671666
291	1001.375004
292	1001.205137
293	1000.99436
294	1000.730064
295	1000.463141
296	1000.143935
297	999.9015502
298	999.4836801
299	999.0754501
300	998.8046747
301	998.5677139
302	998.1924169
303	997.9780417
304	997.5949014
305	997.0490787
306	996.6224096
307	996.2259025
308	995.7490275
309	995.2461411
310	994.9513797
311	994.6625524
312	994.3830973
313	994.0128169
314	993.8101801
315	993.5390893
316	993.2258496
317	992.9367358
318	992.3907558
319	992.1000028
320	991.8596808
321	991.3693059
322	991.1313415
323	990.9197409
324	990.5763213
325	990.1246422
326	989.7937059
327	989.6461222
328	989.2905337
329	988.7717171
330	988.5619102
331	988.3847542
332	988.0007408
333	987.8064866
334	987.5186602
335	987.3295536
336	986.9518589
337	986.802003
338	986.7465472
339	986.4047993
340	986.1657618
341	985.8417588
