iter	Passed	Remaining
0	8	8150
1	15	7497
2	22	7369
3	29	7331
4	38	7607
5	43	7205
6	47	6759
7	53	6645
8	58	6440
9	62	6204
10	68	6137
11	72	5993
12	77	5870
13	83	5847
14	89	5863
15	93	5772
16	100	5826
17	109	6000
18	118	6137
19	123	6041
20	129	6050
21	134	5962
22	138	5893
23	142	5781
24	148	5795
25	153	5738
26	160	5788
27	165	5732
28	171	5741
29	175	5687
30	179	5613
31	183	5537
32	187	5486
33	194	5531
34	198	5486
35	206	5518
36	210	5488
37	217	5509
38	227	5593
39	231	5557
40	238	5580
41	244	5569
42	248	5539
43	255	5544
44	258	5492
45	262	5452
46	266	5396
47	269	5350
48	272	5296
49	275	5243
50	281	5236
51	284	5189
52	287	5143
53	291	5100
54	294	5056
55	297	5022
56	301	4983
57	305	4956
58	310	4952
59	314	4921
60	318	4909
61	322	4873
62	326	4861
63	331	4840
64	337	4859
65	342	4850
66	347	4839
67	351	4820
68	358	4835
69	362	4814
70	365	4783
71	367	4737
72	370	4705
73	376	4707
74	380	4693
75	390	4752
76	395	4745
77	399	4721
78	403	4706
79	408	4698
80	412	4679
81	422	4734
82	427	4725
83	430	4699
84	434	4678
85	440	4682
86	445	4674
87	452	4690
88	457	4681
89	460	4657
90	466	4664
91	471	4650
92	474	4627
93	479	4618
94	482	4596
95	485	4575
96	489	4555
97	495	4561
98	498	4541
99	502	4519
100	507	4513
101	508	4479
102	514	4479
103	517	4459
104	521	4447
105	527	4447
106	532	4442
107	535	4425
108	540	4418
109	544	4408
110	550	4412
111	555	4401
112	558	4383
113	562	4373
114	565	4354
115	571	4357
116	577	4362
117	581	4344
118	584	4327
119	590	4328
120	598	4346
121	602	4334
122	605	4317
123	608	4301
124	612	4287
125	616	4277
126	619	4261
127	625	4263
128	630	4258
129	635	4255
130	640	4247
131	643	4232
132	647	4221
133	650	4205
134	654	4196
135	658	4184
136	661	4169
137	665	4155
138	668	4140
139	672	4129
140	675	4118
141	679	4104
142	682	4091
143	685	4077
144	689	4067
145	693	4053
146	696	4040
147	700	4030
148	703	4017
149	707	4010
150	711	4002
151	716	3998
152	719	3985
153	724	3981
154	728	3973
155	734	3975
156	738	3964
157	741	3952
158	744	3939
159	748	3927
160	752	3921
161	755	3909
162	759	3898
